,@timestamp,Room_in,Portal_in,num_victims,victim_0_id,victim_1_id,victim_2_id,victim_0_color,victim_1_color,victim_2_color,victim_0_in_FOV,victim_1_in_FOV,victim_2_in_FOV,victim_0_in_triage_pos,victim_1_in_triage_pos,victim_2_in_triage_pos,victim_in_crosshair_id,victim_in_cross_hair_color,event_triage_victim_id,triage_in_progress,triage_result,sensor_state,player_ID
103,2020-06-22T17:09:03.445Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
104,2020-06-22T17:09:03.956Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
105,2020-06-22T17:09:04.469Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
106,2020-06-22T17:09:04.878Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
107,2020-06-22T17:09:05.490Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
108,2020-06-22T17:09:05.898Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
109,2020-06-22T17:09:06.408Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
110,2020-06-22T17:09:06.919Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
111,2020-06-22T17:09:07.431Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
112,2020-06-22T17:09:07.943Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
113,2020-06-22T17:09:08.453Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
114,2020-06-22T17:09:08.964Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
115,2020-06-22T17:09:09.474Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
116,2020-06-22T17:09:09.883Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
117,2020-06-22T17:09:10.497Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
118,2020-06-22T17:09:10.905Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
119,2020-06-22T17:09:11.415Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
120,2020-06-22T17:09:11.925Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
121,2020-06-22T17:09:12.435Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
122,2020-06-22T17:09:12.945Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
123,2020-06-22T17:09:13.456Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
124,2020-06-22T17:09:13.966Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
125,2020-06-22T17:09:14.476Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
126,2020-06-22T17:09:14.986Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
127,2020-06-22T17:09:15.496Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
128,2020-06-22T17:09:15.905Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
129,2020-06-22T17:09:16.415Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
130,2020-06-22T17:09:16.926Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
131,2020-06-22T17:09:17.436Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
132,2020-06-22T17:09:17.947Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
133,2020-06-22T17:09:18.457Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
134,2020-06-22T17:09:18.967Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
135,2020-06-22T17:09:19.478Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
136,2020-06-22T17:09:19.989Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
137,2020-06-22T17:09:20.499Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
138,2020-06-22T17:09:20.907Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
139,2020-06-22T17:09:21.418Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
140,2020-06-22T17:09:21.929Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
141,2020-06-22T17:09:22.441Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
142,2020-06-22T17:09:22.952Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
143,2020-06-22T17:09:23.462Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
144,2020-06-22T17:09:23.973Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
145,2020-06-22T17:09:24.483Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
146,2020-06-22T17:09:24.891Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
147,2020-06-22T17:09:25.402Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
148,2020-06-22T17:09:25.914Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
149,2020-06-22T17:09:26.425Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
150,2020-06-22T17:09:26.936Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
151,2020-06-22T17:09:27.446Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
152,2020-06-22T17:09:27.956Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
153,2020-06-22T17:09:28.467Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
154,2020-06-22T17:09:28.978Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
155,2020-06-22T17:09:29.489Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
156,2020-06-22T17:09:29.898Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
157,2020-06-22T17:09:30.409Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
158,2020-06-22T17:09:30.920Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
159,2020-06-22T17:09:31.431Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
160,2020-06-22T17:09:31.941Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
161,2020-06-22T17:09:32.452Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
162,2020-06-22T17:09:32.963Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
163,2020-06-22T17:09:33.474Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
164,2020-06-22T17:09:33.985Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
165,2020-06-22T17:09:34.496Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
166,2020-06-22T17:09:34.904Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
167,2020-06-22T17:09:35.414Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
168,2020-06-22T17:09:35.925Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
169,2020-06-22T17:09:36.436Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
170,2020-06-22T17:09:36.947Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
171,2020-06-22T17:09:37.458Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
172,2020-06-22T17:09:37.969Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
173,2020-06-22T17:09:38.482Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
174,2020-06-22T17:09:38.992Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
175,2020-06-22T17:09:39.400Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
176,2020-06-22T17:09:39.911Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
177,2020-06-22T17:09:40.422Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
178,2020-06-22T17:09:40.933Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
179,2020-06-22T17:09:41.445Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
180,2020-06-22T17:09:41.956Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
181,2020-06-22T17:09:42.467Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
182,2020-06-22T17:09:42.977Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
183,2020-06-22T17:09:43.490Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
184,2020-06-22T17:09:43.898Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
185,2020-06-22T17:09:44.409Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
186,2020-06-22T17:09:44.919Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
187,2020-06-22T17:09:45.429Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
188,2020-06-22T17:09:45.940Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
189,2020-06-22T17:09:46.450Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
190,2020-06-22T17:09:46.961Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
191,2020-06-22T17:09:47.471Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
192,2020-06-22T17:09:47.982Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
193,2020-06-22T17:09:48.493Z,None,None,0,None,None,None,None,None,None,False,False,False,False,False,False,None,None,None,False,None,None,ASU_MC
